title,link,date,text
「写ルンです」を着飾るためのシールを作ってみた。,https://www.takchaso.com/entry/2017/10/02/213640,2017-10-02T12:36:40Z,"販売もすることした。

「写ルンです」着せ替えシール（仮）

愛すべき、写ルンです。基本的に27枚ないし39枚撮り終えると、役目を終えてカメラ屋に引き取られることになる。

そんなちょっぴり切ないレンズ付きフィルムですが、その一台一台との思い出を楽しく彩れるシールをつくり、販売することにしました。

デザインサンプル 例えばこういった柄モノや

可愛らしいイラストなどを

販売できればなあって思っています。

※デザイン、紙の質感、型などは今後変更が有りえます。"
エンドオブサマーby写ルンです。,https://www.takchaso.com/entry/2017/09/15/222316,2017-09-15T13:23:16Z,"フォトコンは終わったし、参加もできなかった。

www.takchaso.com

2017年の夏には終止符を打ったつもりだったけれど、未練たらしく、写ルンですで撮った写真と共に振り返る。

なんでもない日

前住んでいた街、浅間町。

僕にとっても妻にとっても思い入れが深いところ。

名古屋に帰って、行く宛が無いときにとりあえず寄る。

僕が住んでいた部屋にはもう他の誰かが住んでいる。

円頓寺商店街まで、よく散歩したなあ。

森、道、市場

これは5月だけど、なんか気分は夏だし、いいよね。

www.takchaso.com

この2枚は2日目の朝、嫁が早起きして散歩しているときに撮ったものらしい。

今回の記事で１，２番の良い写真じゃないか。

雨が酷くて散々だったけれど、また来年も行くんだろうなあ。

結婚式

良い日だった。写真は翌日、後夜祭のようなものだ。

冒頭の写真、吊るされたブーケは妻が妻のお母さんに送った花。

www.takchaso.com

飛騨旅行

tako3（id:tako3ch）と行った飛騨旅行。

ナイスな夏の思い出。

www.takchaso.com

こちらも併せてどうぞ。

blog.tako3.xyz

伊勢ぶらり

曇ってたけど！

www.takchaso.com

秋はもっと季節を撮りたい

一番好きな季節です。

コスモスとか、紅葉とか、キャンプとか。

蚤の市的なのも盛り上がる。

旅行もしたい。

うずうずするね。

秋から冬にかけて、写ルンですの何かしらを企画する予定。

これも楽しみ。



"
３つの季節を渡った写ルンです。,https://www.takchaso.com/entry/2017/04/20/224050,2017-04-20T13:40:50Z,"だいぶ前に買って放置していた「写ルンです」を現像に出した。

どこかのSA。

ピンぼけカレー。SAのカレーはなぜこう美味しいのだろう。

この、どうしようもないショットが写ルンです。っぽいと思う。笑

今まで何度もここを撮ったけど、これが一番いいな。

マフラーおばけ。となりのマンションの雰囲気が好き。

そして今日、残った１枚を。もう夏は近い。"
写ルンですをきっかけに。「365日の残し方」をはじめます。,https://www.takchaso.com/entry/film365life,2018-10-01T13:47:30Z,"僕はこのNo.26というブログで、遠回しながらフィルム写真の面白さみたいなのをお伝えしてきたつもりです。

日常を撮ってみたり、旅行で撮ってみたり、皆で撮り歩いてみたり、季節を撮ったり、結婚式を撮ったり。

今回改めて、その楽しさをもっとストレートな形で伝えていくメディアをはじめることにしました。

「365日の残し方」というメディア

この度、365日の残し方というWEBメディアをはじめました。

「写ルンです」をきっかけにして、フィルムカメラ・フィルム写真の魅力を伝えていくメディアです。

フィルムの楽しさを知ってほしい

僕の周りには、フィルムカメラ・写真を趣味にしている人がたくさんいます。本屋でも、フィルムカメラ・写真を特集した本をよく見かけるようになりました。instagramの流行をきっかけに、写ルンですで写真を撮る10代もいると聞きます。

でもそれは僕の興味が向いているから、輝いて見えるだけな気がしていて、実際は「フィルムなんてまだ売ってんの？」というのが大勢の反応だと思ってます。まだまだフィルムカメラで写真を撮るのは、ニッチな行為で趣味。

ただそれじゃ勿体無いなーという思いがありまして。2018年、誰もがポケットにカメラを入れている時代。誰もが写真を撮って、しかもただの記録じゃなくて「映える写真」を狙う時代。せっかくそんな時代が来てるんだから、フィルムカメラの魅力はもっと伝わって良いはず。

日常の中で、非現実の旅行の中で、記念日に、門出に、365日の中に残したい瞬間をフィルムにおさめる面白さ。

そういうのを、写真趣味じゃない人を含めてたくさんの人に体験してほしいなーという思うようになって、このメディアをはじめることにしました。

「写ルンです」でフィルムカメラ・フィルム写真へのハードルを下げたい

このメディアの主役は「写ルンです」です。フィルムカメラ・フィルム写真という趣味性の高いものに触れるにあたり、最もハードルが低いツールだと感じるからです。

最も気軽で身近、多くの人のフィルム原体験でもある「写ルンです」から、皆さんのフィルム写真再（または初）体験がはじまるといいなあと思います。

企画・運営 anachro(ing)について

「365日の残し方」はanachro(ing)という人たちによって運営されています。”あなくろ”と読みます。

anachro(ing)のanachroは「時代錯誤な」という意味。後ろに(ing)をつけて、「時代錯誤だけど、進んでるよ、新しいよ」という意味を持たせています。

たこさんちゃんねるというブログを運営するtako3と、学生時代にはじめたブランドです。

何度かこのブログで紹介してまして、もうご存知の方もいらっしゃるかとは思うのですが、はじめての方もいらっしゃるでしょうし、中々覚えて頂けなかったりしてるので、くどいようですがちょっと紹介させて下さい。

ちょうど一ヶ月ほど前に記事にした装幀画廊を企画したり、写ルンですに貼るシールなども企画しています。過去には写真展も何度か。

発足当時からテクノロジーに敬意を払いつつ、モノの良さ・忘れられていきそうなモノ・コトを伝えていく、みたいなことをやっています。

装幀画廊では本のモノとしての良さを、365日の残し方はフィルムカメラやフィルム写真の楽しさを。

▶ anachro(ing)

仲間を探しています

現在「365日の残し方」は僕とカトウタクミ（tako3）の2人で運営しています。2人の発想力と手足には早くも限界がきており、子供もいないのに孫の手すら借りたい状態です。

収益化の目処は立っていませんし、金銭的な部分より「写ルンですきっかけで、フィルムカメラ・写真の魅力を伝えたい」という思いが先行しているメディアです。

現段階で報酬などはまともにご用意できないのですが、思いに共感してくださる方で「運営手伝ってもいいよ」とか「記事書いてもいいよ」なんて方がいらっしゃいましたら、下記のフォームかTwitterのDMでお声掛けいただけると嬉しいです！

▶ お問い合わせ | 365日の残し方

▶ 365日の残し方 (@film365_life) | Twitter

では、まだまだ荒削りなメディアですが、「365日の残し方」をどうぞよろしくお願いいたします。

365日の残し方｜https://film365.life/"
「実はもう1つある感」写ルンですでも、撮ったんです。｜（続）富士フイルムのカメラで、友人の結婚式・披露宴を撮った話。,https://www.takchaso.com/entry/utsurun-desu-wedding,2018-09-28T13:49:05Z,"先日公開した「富士フイルムのカメラで、友人の結婚式・披露宴を撮った話。」という、特に捻りのないタイトルの記事。

www.takchaso.com

この記事、1日で1万PVを超え、2018年9月28日現在1.7万PVという、僕のブログでは稀に見るスーパーヒット記事となりました。皆様ありがとうございます。

さて、特に捻りのないタイトルと言ったものの、強いて言うなら、富士フイルム様に媚びたタイトルとなっています。今日の記事で更に媚びていく感じになります。

そう、この日は上記記事で紹介したカメラ以外に、「写ルンです」という富士フイルム様のカメラ（正確にはレンズ付きフイルム）でも撮影していたんです。

「実はもう1つある感」幸せな日の何気ない瞬間も、写ルンです。

「写ルンです」でも撮った理由は「実はもう1つある感」を作りたかったから。

僕はそういう要素が結構好きです。メインは終わったけど、実は小さいながらも嬉しいのが出てくる感じ。飲み会後、このまま帰るかーという雰囲気になってたけど、気心知れた友達とコーヒーを飲みに行くとか。帰りに買うアイスとか。楽しいことを一通りやった日、帰りの本屋で好きな漫画の新刊を見つけるとか。

当日はほとんどデジタルで撮ってるし、先にデジタルの写真を納品するから、写ルンですで撮ってたのは忘れがちだけど「そういえばあっちでも撮ってたよね？」って気づくと嬉しさが爆発する気がしました。

他のフイルムカメラでも良かったんですけど、写ルンですは構図くらいしか気にするところないので気が楽。そういうこともあってか、写ルンですで撮る写真は「何気ない一瞬っぽさ」を演出するのに最適だと思う。

僕はウェディングフォトグラファーでも無いし、趣味で写真をやってる身だけど、こういう工夫だったらテクニック関係ないなと思って。ある意味保険（笑）

夜だし室内だしフラッシュはすべてオン！

ただいつも通りバシャバシャ切ってたら、半分くらいの写真が真っ暗でした（笑）写ルンですのフラッシュ使用時の撮影距離って1−3mなんです。ちゃんとパッケージの裏にも書いてありました。あはは・・・

挙式後、控室で。この2枚があっただけでも、撮ってよかったなーと思いました。こういう一瞬が撮れるのは、写ルンですの撮影テンポならではだと思う。

テーブル席の友人を撮るのも良いし。

そうそう、このくらいの距離じゃないと。

写真は現像後、すべて加工しました。主にコントラストと彩度を持ち上げる感じで。

ウェディングに写ルンですのススメ

撮れてないのも多数あったけど、良い感じで「実はもう1つある感」を作れた気がします。

ウェディングでの撮影は、カメラマンだけでなくゲストの方も大半がデジカメかスマホで撮ると思います。ただ結婚式場って結構暗かったり、光が変わったりして撮影が難しい。うまく撮ろうと四苦八苦してたら、宴がどんどん進行していく・・・。

そんなときにオススメなのが、細かいことは気にしなくても良い「写ルンです」です。

近くの席の友達を撮ったり、新郎新婦とパシャーっとやりましょう。ちょっとブレたり、目を瞑ったり。でもそれは現像してからのお楽しみです。撮ってもその場で確認できません。パッと撮って、宴を楽しみましょう。

上手に撮るのはカメラマンに任せて、ゲストはその場を楽しみ、新郎新婦が幸せな空間を作るのが一番です！

※ちょっとでも暗いと思ったら、写ルンですはフラッシュオンで使いましょう。ただ会場の雰囲気を壊さないように注意です！

ブログでも「実はもう1つある感」を出してくれた写ルンです。持ってってよかったー。

これから結婚式を挙げる予定のある、新郎新婦の皆さん！可愛いシールで写ルンですをドレスアップして、ゲスト卓に置いておくと、きっと盛り上がりますよ！下記の商品も是非。"
クラッセみたいな「写ルンです」ケースをまんまと買ってしまった。,https://www.takchaso.com/entry/utsurundesu-case,2018-07-29T23:00:00Z,"買ってしまっていました。

唐突に発売された、写ルンですPREMIUM KIT Ⅱ。前回のプレミアムキットはシリコンケースとカラビナでしたが、今回は富士フイルムのフイルムカメラ「KLASSE W」を模したケース！

しかもプレミアムキットのシルバー色とは別に、単品販売で黒色も用意するという商売っ気を出してきまして、まあ両方買うよね・・・（笑）

写ルンです PREMIUM KIT Ⅱが可愛い

まずは写ルンです、ケース、ストラップの3点セット、PREMIUM KIT Ⅱです。こちらはシルバー色のケース。

外箱です。

中身。新デザインの写ルンです、初購入です。

写ルンですをケースに入れます。

クラッセの液晶モニタを模したシールと、フイルム室ののぞき穴用シール。

実際に写ルンですをいれたところ

上から。結構しっかり作りこんである中に、写ルンですの要素が同居してて愛せます。

裏側。

意外と安っぽくなくて、いい感じです。

人気のようで、在庫があったりなかったり。通常価格が3,000円しないくらいですが、4,000円ぐらいで売られてたりしますね・・・（特にAmazon）。普通に家電量販店の方が入手しやすいかもです。

写ルンです専用ハードカバーBlackが可愛い

見事に釣られて買ってしまいました。

黒色のケースはケース単品で販売されています。両方買っちゃうでしょ・・・。

外箱。

黒！かっこいい〜〜。

シルバーと並べるとお互い引き立って良い感じ。

両方買っちゃうね。

こちらは限定8,000台。通常価格は2,000円切るぐらいでしたので、Amazonはだいぶと高騰してますね〜。ヤフーショッピングや楽天あたりはまだある様子。（20180729現在）

フイルムカメラのきっかけに

写ルンですのケースは今までもありましたが、フイルムカメラの被り物は初めてでは？（しかも公式）

こういうので写ルンですやフイルムカメラ周りが盛り上がるのはとても楽しいなと思います。フイルムブームなんて言われて、写ルンですを使う人がまた増えてきましたが、フイルム交換式のカメラまで手を出していない人はたくさんいると思います。

今回のケースは本格的なフイルムカメラを持ちたいな、と思ってしまうケースな気がするので、これをきっかけにフイルムカメラを買ってみようって人が増えたら嬉しいなーって思います。

僕はクラッセが欲しくなりました。

写ルンですに貼るシールもよろしくお願いします（今在庫無いけど・・・）

もうすぐ新柄と共に在庫復活の予定です〜。

シールなので使い捨てになってしまいますが、気分を変えたいときとか、イベントのときに！

minne.com

記事はこちら↓"
尾道、晴天、写ルンです。,https://www.takchaso.com/entry/onomichi-utsurundesu,2018-07-15T14:18:12Z,"前回の倉敷に続き、尾道で撮った写ルンですの写真です。

尾道の写真は2日分あります。最後の方、少し福山が混じってますが。

尾道1日目は「たけさんぽ広島」というフォトウォークに参加。2日目も少人数で尾道を周りましたので、おおよそ写真撮って散歩してた感じです。

尾道、晴天、写ルンです。

以上です！

海と空の色がとても綺麗に出ています。特に空の色は普通だったら白飛びになりそうなところを、青を引っ張り出してる感がすごいです。

今はなき39枚撮り写ルンです、3日間で綺麗に撮り切りました。倉敷と合わせて、過去最高に良かったかも。

倉敷の写ルンです記事でも触れた、大雨被害の件。尾道も被害地域の1つです。

今はネット経由で、しかもポイントを使っての募金も出来ます。

【寄付が2倍：Yahoo!基金】平成30年7月梅雨前線等による大雨被害緊急災害支援募金 - Yahoo!ネット募金

楽天クラッチ募金-平成30年7月西日本豪雨被害支援募金 | 楽天株式会社

こちらの記事もどうぞ

今回の2日間をデジタルで撮った写真をたくさん載せた記事です。

たけさんぽ広島については主催者の記事を。次回は秋に東京だそうです。"
倉敷、晴天、写ルンです。,https://www.takchaso.com/entry/kurashiki-utsurundesu,2018-07-10T13:59:36Z,"4月下旬に倉敷と尾道を訪れました。

いくつか記事を書いて、写真もたくさん掲載したのですが、写ルンですで撮った写真をまだ載せていませんでした。

今回の記事では、倉敷で撮った写真を。

もうかなり日も経ってますが、ちょっとしたタイムカプセル的な感じで。

倉敷、晴天、写ルンです。

久々の写ルンです記事ですね。今まで現像はカメラのキタムラなどのチェーン店にお願いしていたのですが、今回はとある写真屋さんで。仕上がりが全然違って驚きました。

倉敷の駅から。

美観地区へ向かう道かな？

こいのぼり。

美観地区。撮り尽くされた画だと思うけど、いい写真が撮れた。

中央がとれていない、中央。

いい逆光。

電話ボックスが可愛くて撮ったのだと思う。

いい時間の、いい街並み。

写ルンですの定番、逆光リング。

開館時間が終わってて入れなかった、いがらしゆみこ美術館。

以上です！

ついに旧モデル版が終わってしまった

--------------------------------------------------------------

倉敷も尾道も、先日の大雨で大変な被害が出た地域。今は募金を通じて支援をしていくのが一番かなと思いますが、また訪れたいです。

（追記）美観地区は被害少なかったようです。夏の美観地区もいいだろうな…

募金は色んなところが実施していますが、ヤフーや楽天はポイントでも募金できます。期間限定ポイントも使えるようです。

【寄付が2倍：Yahoo!基金】平成30年7月梅雨前線等による大雨被害緊急災害支援募金 - Yahoo!ネット募金

楽天クラッチ募金-平成30年7月西日本豪雨被害支援募金 | 楽天株式会社

また、ちょうど今月のCasaが瀬戸内特集で、倉敷や尾道の記事が。

さすがマガジンハウス、めちゃくちゃハイセンスなスポットを色んな切り口で紹介しています。これは何度も行かなきゃ・・・。

しかも写真は濱田英明さんの撮り下ろし。大量です。写真集としても最高。これ、保存版ですよ・・・。

次回は尾道の写ルンですをお届けします！

こちらの記事もどうぞ

写ルンですで振り返った倉敷。次の記事では、同日にデジタルで撮った写真で旅行日記を書いています。"
2017.11-12の写ルンです。,https://www.takchaso.com/entry/201711-12utsurundesu,2018-04-09T23:30:00Z,"前回から結構な間ができてしまった。

前回は11月前半。実はこのあと、撮りかけで別の写ルンですを開けてしまい、併用していたため時系列にがごちゃごちゃに。11月-12月の写ルンですと12-3月の写ルンですが出来てしまった。後者の12月を前者と併せたかったんだけど、撮り終えるのが遅くなって今に至る。

2017年秋、散歩と日常の記録

散歩に行くよ。

紅葉が撮りたかったんだよなあ。

鳩が水遊びしてる。

いつもの公園で。

バンザイ。

今は桜が咲いてるよ。

ご飯をほかほか炊いてる最中だよ。ほかほか。

12月、クリエイターズマーケットへ

早起きしたクリエイターズマーケットの朝。

www.takchaso.com

ちょこん。

早起きしたなー。

金城ふ頭の朝。

空のグラデーションが朝。

体育館の朝。

12月後半、下北沢

午後の逆光。

まっしろ家。

STOMACHACHE.

カップケーキを

食べたよ。この日付き合いはじめて3年になった。まだそういうのカウントしてるよ。かわいいだろ。

年の暮れ

クリスマス。

実家で年越しそば。

やっと2017年が終わったよ。

まだ買える、値上がり前のシンプルエース。君だけは無くならないで。

たまには違う服も用意してあるから！"
台湾旅行by写ルンです。,https://www.takchaso.com/entry/2018/01/06/223736,2018-01-06T13:37:36Z,"台湾ひっぱりますよー（笑）

X-Pro2とX100Fに加えてシンプルエースをカバンに仕込んでいました。

んー全然上手に撮れなかった！（笑）

曇り続きでくらーい印象だったので、一部の写真はデジタルデータにしてから微妙に露出上げてます。こういうときは増感現像してもらえばいいのかな？

台湾旅行by写ルンです

富士山 台湾のポスト。緑と赤はどう使い分けるのだろう。 路地。ベランダが無い建物が多かったな。 フリーダム横断。 フリーダム横断２。看板がガチャガチャしてる。 水平とは。対象とは。 歩いたね〜。 なんか良いことがあった感じのこま犬。 でかい扉。 落花生フラーッシュ！ 食べる風景。 原付国。 路地。 良い感じのが撮れると思ったんだろう。 暗い。 おーなんか良い色合い。 ニューローメンいかがっすか。 とにかく室外機は壁にくっつけたいらしい。 商店街。 お店はだいたいラフな感じ。 みんな御飯の時間だ。 街角。 コインランドリー。

何とも微妙な写真をたくさん撮ってしまった。

でもほとんどを掲載していくスタイル。

今度はもっと上手に撮りたいな・・・（笑）

過去記事はコチラ

▶ 台湾に行ってきました！（１日目） - No.26（仮）

▶ 台湾に行ってきました！（２日目①） - No.26（仮）

▶ 台湾に行ってきました！（２日目③） - No.26（仮）

▶ 台湾に行ってきました！（最終日） - No.26（仮）"
クリエイターズマーケットv37に出展しました！,https://www.takchaso.com/entry/2017/12/25/083000,2017-12-24T23:30:00Z,"12/8（日）に出展しました〜！

クリエイターズマーケットv37に出展しました！

来場・購入頂いた皆さま！SNS等で気にかけてくださった皆さま！ありがとうございました！！

クリエイターズマーケットについて

クリエイターズマーケットは、名古屋でやってる東海最大のクリエイターズイベント。東京で言うデザフェスみたいな。

www.creatorsmarket.com

anachro(ing)について

個人ではなく、anachro(ing)という団体名での出展でした。

[ anachro(ing) ] 「あなくろ」と読みます。

anachroとは「時代錯誤な」という意味でして、それに「(ing)」をつけています。

これは今に続く、今も続くといった、そういった意味を含ませています。 WEBで何でも完結してしまう世の中になっちゃったけど、

モノで持つという楽しさとか喜びをもっと伝えていけたらいいねという気持ちでスタートしています。 ちょっとずつ少しづつ時代錯誤していきます。

学生の頃なんかやりたいねってはじめて、そこから年に１度くらいは何かしらの企画をやっています。

インスタの写真展「joinstagram」をやってみたり（当時はiPhoneで撮ってなんぼな時代だった）、トートバッグ販売だったり、写真展だったり。

anachro-ing.com

Webもモノも好きな人間たちがやっている。

古いけど新しい、モノとWebという一見反対の位置にいそうなそれぞれに敬意を表してやっている。

何人かでやってるけど、最近はid:tako3chと僕の「やりたい」を具現化する手段になっている（笑）

出展したもの

ZINE（写真集）

ひとり２冊ずつ作りました！

内容とかは追々紹介できればなーと思います。

写真選ぶのが難しくて、普段いかにテーマとか考えずに写真撮っているか痛感しました・・・。

あと、ボツにしていた写真もZINE（写真集）という作品においては「お、これ良い感じ」って具合に浮上してきたり・・・なかなかおもしろいです。

ポストカード

わたくし間に合いませんでした（笑）

写ルンですに貼るシール

がんばったよ〜がんばって作ったよ〜売れ行きは別として、反応はかなり良かった気がします！

www.takchaso.com

写ルンですも使い捨てですからね、シールも使い捨てなわけですが。

27枚ないし39枚を、ちょっと特別な写ルンですと一緒にいかがでしょうかーーー。

ブースこんな感じ

せこせこ作りましたー。タープ買って、ヤフオクで木箱買って、麻布コーヒーで染めて、id:tako3chの部屋からドライフラワーやら良い感じのものごっそり持ってきて。

当日の様子を動画にしました

当日時間を持て余して、いやお客様対応の合間を縫って、ちょろーっと撮影。

１分くらいなので観てみてください！

vimeo.com

もうちょっと会場全体の雰囲気とか、準備の様子とか撮ればよかった！あと手ブレ〜スタビライザーが必要だ。

音源のコピーライトは私です。

minneで買えます！

重要！

当日販売したZINE、ポストカード、写ルンですシールをminneで販売開始しました！

ZINEは300円〜、写ルンですシールは3セット300円です。ぜひ！！

minne.com

あと、シールを買ったらシールを貼る写ルンですがいるよね！！

ね！！

ぜひ〜ぜひ〜

2018年も色々つくったり出展したりしたい

30歳も近いけど、本業でもないけど、何か作ったり発信する行為は続けていきたい。

イベント出展は今回はじめてでしたが、来年はもっと色々出たいなと思っています！お声がかかったりしたら最高です・・・。

では！"
2017.11の写ルンです。,https://www.takchaso.com/entry/2017/11/18/120000,2017-11-18T03:00:00Z,"今回はささっと撮り終わった。

予定のない日の散歩だったり、とんぼ返りの長野旅行だったり。

しっかり構えず歩きながら撮る。

絞りもシャッタースピードも感度もぜーんぶ固定。潔くて、目の前の瞬間をちゃんと記録できる。

2017.11の写ルンです

散歩の記録

横断歩道から ブルー 出かけるのが遅かった日 秋のあしもと 秋のあしもと_2 空 冬が近い感じする オリンピックも近い 迷信

とんぼ返りした長野出張

新幹線待ち時間、お土産買いがてら。

ローカル感 立派な駅（正面から撮りたかった） 大きな柱 大きな提灯 ２０年前のオリンピック サボタージュしがいのある日 乗車時間

そしてまた日常

食べるのが好き 寒そうな雨の朝 まれ 透き通った朝

もうすぐ冬がきちゃうのか〜〜"
2017.09-10の写ルンです。,https://www.takchaso.com/entry/2017/11/05/180000,2017-11-05T09:00:00Z,"写ルンですって、サッと撮りきっちゃうこともあれば、中々終わらないこともありますよねえ。

およそ２ヶ月分が溜まった写ルンですです。

2017.09-10の写ルンです。

１，２ヶ月遅れで、その時が出てくるのはやっぱり楽しい。"
「写ルンです」を着飾るためのシールを作ってみた。,https://www.takchaso.com/entry/2017/10/02/213640,2017-10-02T12:36:40Z,"販売もすることした。

「写ルンです」着せ替えシール（仮）

愛すべき、写ルンです。基本的に27枚ないし39枚撮り終えると、役目を終えてカメラ屋に引き取られることになる。

そんなちょっぴり切ないレンズ付きフィルムですが、その一台一台との思い出を楽しく彩れるシールをつくり、販売することにしました。

デザインサンプル 例えばこういった柄モノや

可愛らしいイラストなどを

販売できればなあって思っています。

※デザイン、紙の質感、型などは今後変更が有りえます。"
エンドオブサマーby写ルンです。,https://www.takchaso.com/entry/2017/09/15/222316,2017-09-15T13:23:16Z,"フォトコンは終わったし、参加もできなかった。

www.takchaso.com

2017年の夏には終止符を打ったつもりだったけれど、未練たらしく、写ルンですで撮った写真と共に振り返る。

なんでもない日

前住んでいた街、浅間町。

僕にとっても妻にとっても思い入れが深いところ。

名古屋に帰って、行く宛が無いときにとりあえず寄る。

僕が住んでいた部屋にはもう他の誰かが住んでいる。

円頓寺商店街まで、よく散歩したなあ。

森、道、市場

これは5月だけど、なんか気分は夏だし、いいよね。

www.takchaso.com

この2枚は2日目の朝、嫁が早起きして散歩しているときに撮ったものらしい。

今回の記事で１，２番の良い写真じゃないか。

雨が酷くて散々だったけれど、また来年も行くんだろうなあ。

結婚式

良い日だった。写真は翌日、後夜祭のようなものだ。

冒頭の写真、吊るされたブーケは妻が妻のお母さんに送った花。

www.takchaso.com

飛騨旅行

tako3（id:tako3ch）と行った飛騨旅行。

ナイスな夏の思い出。

www.takchaso.com

こちらも併せてどうぞ。

blog.tako3.xyz

伊勢ぶらり

曇ってたけど！

www.takchaso.com

秋はもっと季節を撮りたい

一番好きな季節です。

コスモスとか、紅葉とか、キャンプとか。

蚤の市的なのも盛り上がる。

旅行もしたい。

うずうずするね。

秋から冬にかけて、写ルンですの何かしらを企画する予定。

これも楽しみ。



"
３つの季節を渡った写ルンです。,https://www.takchaso.com/entry/2017/04/20/224050,2017-04-20T13:40:50Z,"だいぶ前に買って放置していた「写ルンです」を現像に出した。

どこかのSA。

ピンぼけカレー。SAのカレーはなぜこう美味しいのだろう。

この、どうしようもないショットが写ルンです。っぽいと思う。笑

今まで何度もここを撮ったけど、これが一番いいな。

マフラーおばけ。となりのマンションの雰囲気が好き。

そして今日、残った１枚を。もう夏は近い。"
